,code,time_key,open,close,high,low,volume,turnover,pe_ratio,turnover_rate,last_close,W240C,W220P,W260C,W000P,M240C,M220P,M260C,M200P,WS200,WS400,MS200,MS400
912,HK.999010,2022-01-04 23:25:00,23297.0,23336.0,23336.0,23292.0,337,7857171.0,0.0,0.0,23295.0,112.0,94.0,46.0,45.0,358.0,359.0,278.0,286.0,206.0,91.0,717.0,564.0
913,HK.999010,2022-01-04 23:30:00,23337.0,23333.0,23346.0,23320.0,356,8307175.0,0.0,0.0,23336.0,109.0,93.0,48.0,44.0,372.0,359.0,282.0,286.0,202.0,92.0,731.0,568.0
914,HK.999010,2022-01-04 23:35:00,23332.0,23301.0,23337.0,23296.0,248,5780844.0,0.0,0.0,23333.0,100.0,102.0,43.0,50.0,372.0,359.0,277.0,286.0,202.0,93.0,731.0,563.0
915,HK.999010,2022-01-04 23:40:00,23302.0,23287.0,23303.0,23283.0,254,5916218.0,0.0,0.0,23301.0,100.0,108.0,41.0,53.0,351.0,359.0,277.0,289.0,208.0,94.0,710.0,566.0
916,HK.999010,2022-01-04 23:45:00,23287.0,23276.0,23293.0,23272.0,249,5797587.0,0.0,0.0,23287.0,91.0,113.0,40.0,56.0,351.0,359.0,260.0,290.0,204.0,96.0,710.0,550.0
917,HK.999010,2022-01-04 23:50:00,23274.0,23319.0,23323.0,23270.0,381,8876237.0,0.0,0.0,23276.0,91.0,98.0,36.0,50.0,351.0,359.0,260.0,280.0,189.0,86.0,710.0,540.0
918,HK.999010,2022-01-04 23:55:00,23320.0,23297.0,23327.0,23290.0,273,6363956.0,0.0,0.0,23319.0,91.0,96.0,40.0,47.0,351.0,359.0,270.0,279.0,187.0,87.0,710.0,549.0
919,HK.999010,2022-01-05 00:00:00,23297.0,23287.0,23298.0,23283.0,166,3866064.0,0.0,0.0,23297.0,96.0,96.0,40.0,53.0,351.0,359.0,267.0,291.0,192.0,93.0,710.0,558.0
920,HK.999010,2022-01-05 00:05:00,23289.0,23249.0,23291.0,23239.0,502,11679262.0,0.0,0.0,23287.0,82.0,125.0,32.0,58.0,340.0,359.0,252.0,294.0,207.0,90.0,699.0,546.0
921,HK.999010,2022-01-05 00:10:00,23253.0,23270.0,23273.0,23248.0,241,5605481.0,0.0,0.0,23249.0,82.0,118.0,32.0,59.0,340.0,359.0,252.0,294.0,200.0,91.0,699.0,546.0
922,HK.999010,2022-01-05 00:15:00,23269.0,23265.0,23279.0,23263.0,174,4049252.0,0.0,0.0,23270.0,90.0,125.0,36.0,59.0,340.0,359.0,252.0,294.0,215.0,95.0,699.0,546.0
923,HK.999010,2022-01-05 00:20:00,23265.0,23291.0,23291.0,23255.0,191,4445273.0,0.0,0.0,23265.0,97.0,125.0,37.0,54.0,340.0,359.0,252.0,303.0,222.0,91.0,699.0,555.0
924,HK.999010,2022-01-05 00:25:00,23290.0,23258.0,23298.0,23253.0,218,5073457.0,0.0,0.0,23291.0,97.0,115.0,35.0,56.0,340.0,359.0,252.0,303.0,212.0,91.0,699.0,555.0
925,HK.999010,2022-01-05 00:30:00,23255.0,23271.0,23274.0,23243.0,414,9628760.0,0.0,0.0,23258.0,81.0,124.0,34.0,60.0,340.0,378.0,252.0,303.0,205.0,94.0,718.0,555.0
926,HK.999010,2022-01-05 00:35:00,23273.0,23278.0,23278.0,23264.0,226,5259243.0,0.0,0.0,23271.0,81.0,124.0,34.0,60.0,340.0,378.0,252.0,303.0,205.0,94.0,718.0,555.0
927,HK.999010,2022-01-05 00:40:00,23278.0,23288.0,23290.0,23275.0,92,2141994.0,0.0,0.0,23278.0,81.0,124.0,40.0,60.0,340.0,378.0,252.0,303.0,205.0,100.0,718.0,555.0
928,HK.999010,2022-01-05 00:45:00,23286.0,23298.0,23299.0,23286.0,106,2469134.0,0.0,0.0,23288.0,81.0,105.0,40.0,52.0,340.0,378.0,252.0,303.0,186.0,92.0,718.0,555.0
